id,group,pageranks,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
289650,9,0.002729,29.99,Ubisoft,2014,4667,2,1.0,Assassin's Creed Unity,"12,927","7,524",0.6254,437,719,"12,180"
290930,13,0.015344,0.0,Filip Victor,2015,4667,6,0.0,Half-Life 2: Update,"2,783",269,0.8751000000000001,18,57,"3,175"
291480,9,0.001656,0.0,MY.GAMES,2014,1678,0,0.0,Warface,"34,125","15,017",0.6869,"1,854","3,330","13,867"
296200,9,0.0018899999999999998,0.0,Sytexis,2014,5611,0,0.0,,,,,,,
296490,27,0.00575,9.99,Armor Games Studios,2015,1645,0,1.0,GemCraft - Chasing Shadows,"2,414",90,0.9201,85,186,"1,601"
298630,9,0.001048,17.99,Team17 Digital Ltd,2015,3964,0,0.0,The Escapists,"11,788","1,440",0.8687,53,144,"3,354"
299500,9,0.017959,12.99,Big Head Games Ltd,2013,17927,0,0.0,International Snooker,275,183,0.5846,6,16,79
300380,9,0.005137,7.99,Tripwire Interactive,2017,4667,0,0.0,Road Redemption,"5,105","1,129",0.7959,118,229,806
304240,35,0.014728999999999999,19.99,"CAPCOM Co., Ltd.",2015,3978,7,1.0,Resident Evil / biohazard HD REMASTER,"6,603",669,0.8798999999999999,66,130,"4,388"
306020,62,0.000789,9.99,Ninja Kiwi,2014,1645,0,1.0,Bloons TD5,"4,183",355,0.8883,159,345,"1,660"
311560,24,0.0,19.99,Ubisoft,2015,4667,2,1.0,Assassin's Creed Rogue,"4,586","1,046",0.7909,148,298,"2,371"
312280,9,0.011167,0.0,BlueLine Games,2015,1770,0,0.0,Simply Chess,"1,579",497,0.7345,18,33,596
314340,9,0.011792,5.99,Ludeme Games,2014,1770,0,0.0,Chess 2: The Sequel,50,46,0.5156000000000001,,,
319510,13,0.0020440000000000002,4.99,Scott Cawthon,2014,3978,5,1.0,Five Nights at Freddy's,"16,030","2,200",0.8595,32,70,"1,316"
331600,60,0.000789,39.99,BANDAI NAMCO Entertainment,2015,1681,0,0.0,ONE PIECE PIRATE WARRIORS 3,"4,703","1,014",0.7988,83,176,"4,274"
332800,13,0.002652,7.99,Scott Cawthon,2014,3978,5,1.0,Five Nights at Freddy's 2,"8,046",853,0.878,8,32,"1,725"
334940,13,0.0009199999999999999,19.99,Team17 Digital Ltd,2018,6815,0,1.0,Yoku's Island Express,651,20,0.9039,2,13,94
335620,27,0.00856,10.04,Trese Brothers,2018,1755,0,0.0,Star Traders: Frontiers,"1,448",181,0.8469,47,101,"1,111"
336150,13,0.0023,14.99,Celeris,2015,17927,0,0.0,Virtual Pool 4,173,45,0.7356,18,39,72
339340,35,0.010026,19.99,"CAPCOM Co., Ltd.",2016,3978,7,1.0,Resident Evil 0 / biohazard 0 HD REMASTER,"2,329",409,0.8183,32,64,"3,128"
339610,27,0.006012,0.0,Joycity,2015,1746,0,0.0,FreeStyle 2: Street Basketball,"6,075","2,286",0.7116,730,"1,047","10,356"
343780,35,0.004389,6.99,0,2015,4726,0,1.0,Cat Goes Fishing,"2,011",192,0.8722,29,47,365
343990,13,0.0025039999999999997,0.0,Viva Media,2015,1770,0,0.0,Anti-Opoly,16,26,0.4193,,,
345660,40,0.000789,19.99,Milestone S.r.l.,2015,123332,0,1.0,RIDE: Game,"1,112",373,0.7212000000000001,9,18,598
345660,40,0.000789,19.99,Milestone S.r.l.,2015,198913,0,1.0,RIDE: Game,"1,112",373,0.7212000000000001,9,18,598
346470,29,0.000789,24.99,Mana Games,2013,5914,0,0.0,Tennis Elbow 2013,341,33,0.8426,28,76,143
354140,13,0.003759,7.99,Scott Cawthon,2015,3978,5,1.0,Five Nights at Freddy's 3,"4,928",683,0.8501000000000001,3,16,"3,212"
354200,17,0.000789,0.0,Jarbit,2015,3964,0,0.0,Aberoth,773,482,0.6024,14,29,265
356310,63,0.000789,0.0,SNK CORPORATION,2015,1645,0,0.0,METAL SLUG DEFENSE,764,739,0.5074000000000001,3,13,413
359220,22,0.000789,9.99,THQ Nordic,2006,198913,0,0.0,MX vs. ATV Unleashed,191,92,0.643,1,4,24
359550,27,0.006396,19.99,Ubisoft,2015,1774,0,1.0,Tom Clancy's Rainbow Six Siege,"306,220","62,591",0.8233,"65,412","113,425","178,953"
360430,30,0.000789,39.99,2K,2016,1774,0,0.0,Mafia III,"14,110","13,942",0.5029,449,"1,043","47,822"
362490,10,0.0,14.99,Bare Mettle Entertainment,2015,4604,0,0.0,Exanima,"3,108",857,0.7604000000000001,40,64,403
362830,19,0.000789,9.99,rokapublish,2015,7038,0,0.0,3D Mini Golf,22,33,0.42979999999999996,1,2,7
365020,13,0.018644,0.49,Andrii Vintsevych,2015,3978,0,1.0,Gynophobia,363,183,0.6401,,,
368500,13,0.00095,39.99,Ubisoft,2015,4667,2,1.0,Assassin's Creed Syndicate,"7,681","2,470",0.7406999999999999,492,841,"4,729"
378540,20,0.000789,29.99,Focus Home Interactive,2017,4115,0,0.0,The Surge,"3,557","1,156",0.7348,71,173,"5,978"
381210,9,0.002947,19.99,Behaviour Digital Inc.,2016,3978,0,1.0,Dead by Daylight,"166,645","47,993",0.7695000000000001,"13,935","25,746","75,655"
381210,9,0.002947,19.99,Behaviour Digital Inc.,2016,4345,0,1.0,Dead by Daylight,"166,645","47,993",0.7695000000000001,"13,935","25,746","75,655"
381590,10,0.000789,2.99,ASBO Interactive,2015,123332,0,0.0,Shred! Downhill Mountain Biking,42,37,0.5232,,,
383120,47,0.000789,9.99,Eleon Game Studios,2015,1755,0,0.0,Empyrion - Galactic Survival,"12,000","3,010",0.7829,"1,598","3,074","7,118"
384680,13,0.002747,3.99,Mango Protocol,2015,6815,0,1.0,MechaNika,468,35,0.8643000000000001,,,
385760,35,0.0029850000000000002,59.99,2K,2016,1746,0,0.0,NBA 2K17,"4,393","3,945",0.5251,302,530,"14,905"
388090,13,0.0035759999999999998,7.99,Scott Cawthon,2015,3978,5,1.0,Five Nights at Freddy's 4,"6,372",515,0.8955,6,16,"1,675"
388410,13,0.001911,29.99,THQ Nordic,2015,4345,0,0.0,Darksiders II Deathinitive Edition,"6,333","2,112",0.7334999999999999,132,309,"2,927"
390030,13,0.001697,14.99,Adult Swim Games,2017,4115,0,0.0,DESYNC,292,77,0.7422,,,
392110,13,0.003307,13.59,SEGA,2017,1755,0,0.0,Endless Space 2,"9,058","2,122",0.7915000000000001,590,"1,132","53,435"
393190,27,0.0067989999999999995,13.99,OhNoo Studio,2018,6815,0,0.0,TSIOQUE,570,10,0.9117000000000001,2,5,58
394360,9,0.006115,39.99,Paradox Interactive,2016,1678,0,0.0,Hearts of Iron IV,"43,742","5,681",0.8702,"10,345","21,906","46,806"
397900,48,0.000789,0.0,8Floor,2017,1770,0,0.0,Business Tour - Online Multiplayer Board Game,"13,454","6,209",0.6748000000000001,328,"2,320","7,707"
400630,13,0.00095,14.99,SOEDESCO Publishing,2016,4726,0,0.0,Wuppo,"1,863",99,0.9037000000000001,24,38,398
400630,13,0.00095,14.99,SOEDESCO Publishing,2016,6815,0,0.0,Wuppo,"1,863",99,0.9037000000000001,24,38,398
400800,15,0.000789,19.99,Milestone S.r.l.,2016,198913,0,0.0,MXGP2 - The Official Motocross Videogame,285,118,0.6731999999999999,3,18,437
401680,9,0.013108000000000002,1.43,Running With Scissors,2016,4667,0,1.0,POSTAL Redux,"1,240",132,0.8579000000000001,3,17,628
404410,35,0.003904,0.0,Michael Zahniser,2015,1755,0,0.0,Endless Sky,"3,576",372,0.8722,58,91,"3,035"
405500,7,0.000789,19.99,Team17 Digital Ltd,2016,7038,0,0.0,Dangerous Golf,261,312,0.4621,,,
406970,10,0.0,14.99,ComonGames,2016,4115,0,0.0,The Uncertain: Last Quiet Day,"1,077",264,0.7685,,,
414340,35,0.012471,29.99,Ninja Theory,2017,4604,0,0.0,Hellblade: Senua's Sacrifice,"22,459","2,013",0.8978,114,329,"5,653"
416000,9,0.001042,13.99,Tropical Puppy,2017,3964,0,0.0,Fantasy Farming: Orange Season,105,6,0.8382,6,20,30
417750,24,0.0,2.09,Volumetric Games,2016,3978,0,0.0,Left Alone,245,74,0.7208,1,1,75
418370,35,0.013291999999999998,29.99,"CAPCOM Co., Ltd.",2017,3978,7,1.0,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,"19,950","1,773",0.8976999999999999,215,344,"20,449"
431240,13,0.002015,5.99,Team17 Digital Ltd,2016,7038,0,1.0,Golf With Your Friends,"18,439","1,875",0.8870999999999999,291,874,"2,499"
431730,13,0.0028239999999999997,14.99,Igara Studio,2016,3964,0,0.0,,,,,,,
434460,31,0.000789,14.99,SEGA,2017,1645,0,0.0,Rock of Ages 2,"1,552",352,0.7827,12,40,"2,273"
438740,10,0.0,19.99,Gun Media,2017,4345,0,1.0,Friday the 13th: The Game,"27,182","9,586",0.7292000000000001,"1,099","2,681","16,096"
447530,13,0.001288,14.99,Ysbryd Games,2016,4115,0,0.0,VA-11 Hall-A: Cyberpunk Bartender Action,"14,409",323,0.9515,292,565,"1,574"
452570,16,0.000789,19.99,Adult Swim Games,2017,6815,0,1.0,Battle Chef Brigade,"1,161",39,0.9122,13,23,535
454140,38,0.000789,24.99,Mikori Games,2019,5914,0,0.0,First Person Tennis - The Real Tennis Simulator,147,12,0.8323999999999999,1,6,11
458710,13,0.001274,9.99,Ironhide Game Studio,2016,1645,0,1.0,Kingdom Rush Frontiers,"2,696",114,0.9174,75,101,981
458830,13,0.001172,3.99,Cherry Pop Games,2016,17927,0,0.0,Snooker Nation Championship,121,85,0.5698,1,8,107
460950,18,0.000789,14.99,Devolver Digital,2019,4115,0,0.0,Katana ZERO,"8,398",156,0.9501999999999999,225,429,"1,575"
462200,35,0.001301,3.99,EfimovMax,2017,3964,0,1.0,Dungetris,418,112,0.745,3,6,"1,560"
463350,35,0.004159,0.49,0,2016,5611,0,0.0,Storm of Spears,338,122,0.6977,,,
466270,8,0.000789,0.0,Michael Pelletier,2016,4667,6,0.0,Half-Life: A Place in the West,540,67,0.833,,,
470220,13,0.002519,9.99,Ubisoft Entertainment,2016,1770,0,1.0,UNO,"6,847","2,523",0.716,327,907,"2,309"
485510,27,0.01014,49.99,"KOEI TECMO GAMES CO., LTD.",2017,4604,0,1.0,Nioh: Complete Edition,"11,109","2,928",0.775,884,"1,601","10,649"
487770,13,0.003111,5.99,Wizard Games Inc,2016,1746,0,0.0,Hoops VR,46,12,0.7071999999999999,,,
489940,43,0.000789,19.99,Square Enix,2019,1678,0,1.0,BATTALION 1944,"8,831","4,808",0.6391,877,"2,974","16,771"
496790,39,0.000789,9.99,"What Up Games, LLC",2018,1746,0,0.0,Nothin' But Net,4,1,0.6251,,,
502720,27,0.0074329999999999995,4.99,Schmidt Workshops,2018,1755,0,0.0,Star Explorers,28,9,0.6709,,,
506610,13,0.001273,7.99,Scott Cawthon,2016,3978,5,1.0,Five Nights at Freddy's: Sister Location,"4,842",503,0.8753,11,44,"3,549"
513650,13,0.001066,0.0,IDC/Games,2016,1774,0,0.0,Zula Europe,"4,864","2,362",0.6612,349,"1,158","4,045"
513710,21,0.000789,24.99,Devolver Digital,2018,4667,0,0.0,SCUM,"18,402","9,448",0.6534,"2,584","4,804","68,322"
514900,10,0.0,29.99,Aspyr,2017,4115,0,0.0,Observer,"2,740",638,0.7842,20,58,953
517630,13,0.003518,59.99,Square Enix,2018,1774,0,1.0,Just Cause 4,"2,858","4,305",0.406,469,872,"9,571"
518790,10,0.0,19.99,Avalanche Studios,2017,1774,0,1.0,theHunter™: Call of the Wild,"18,679","4,734",0.7834,"1,884","3,789","5,524"
520940,9,0.010936,39.99,THQ Nordic,2018,198913,0,0.0,MX vs ATV All Out,260,152,0.6097,14,36,308
521580,54,0.000789,2.99,DNVA,2016,1770,0,0.0,Where are my Internets?,49,18,0.6664,,,
528110,9,0.000924,3.99,Mana Games,2009,5914,0,0.0,Tennis Elbow Manager,21,7,0.6593000000000001,2,8,27
530620,10,0.0,0.0,"CAPCOM Co., Ltd.",2016,3978,7,0.0,Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,"3,417",485,0.8445,6,12,"3,910"
535700,25,0.000789,9.99,rokapublish,2016,1770,0,0.0,3D Chess,35,21,0.588,2,3,56
537630,13,0.0014119999999999998,9.99,Barkers Crest Studio LLC,2018,7038,0,0.0,Tee Time Golf,50,4,0.7984,1,6,16
537630,13,0.0014119999999999998,9.99,Barkers Crest Studio LLC,2018,7038,0,0.0,Tee Time Golf,50,4,0.7984,1,6,16
550650,27,0.003894,0.0,NS STUDIO,2019,1774,0,0.0,Black Squad,"37,099","11,936",0.7465999999999999,"2,574","4,865","15,939"
550650,27,0.003894,0.0,NS STUDIO,2019,1678,0,0.0,Black Squad,"37,099","11,936",0.7465999999999999,"2,574","4,865","15,939"
550840,9,0.006915,4.99,LOVIGAME,2016,4667,0,1.0,Fresh Body,905,202,0.779,14,16,175
552500,9,0.0043100000000000005,29.99,Fatshark,2018,4604,0,0.0,Warhammer: Vermintide 2,"25,653","7,572",0.7603,"1,522","3,809","73,316"
552990,45,0.000789,0.0,Wargaming Group Limited,2017,1678,0,0.0,World of Warships,"13,244","4,445",0.7356,"4,323","7,071","9,440"
555440,10,0.0,14.99,Behaviour Digital Inc.,2018,4667,0,0.0,Deathgarden: BLOODHARVEST,"7,762","2,828",0.7186,253,587,"9,305"
571740,57,0.000789,8.99,Perfuse Entertainment,2017,7038,0,1.0,Golf It!,"4,796",832,0.826,250,834,"2,438"
582160,35,0.004371,59.99,Ubisoft,2017,4667,2,1.0,Assassin's Creed Origins,"33,493","6,188",0.8299,"1,183","2,102","41,551"
587650,27,0.0068650000000000004,0.0,marnamai,2017,4667,6,0.0,Half-Life 2: DownFall,"1,578",77,0.9048,2,10,56
588750,13,0.001637,6.99,WildLabs,2017,123332,0,0.0,King Of Dirt,12,11,0.5134000000000001,,,
590950,27,0.007294,1.99,SnoutUp,2018,4726,0,0.0,Toaster Jam,34,2,0.7946,,,
594650,27,0.007566,29.99,Crytek,2018,3978,0,0.0,Hunt: Showdown,"26,218","8,171",0.7511,"1,409","3,541","14,136"
596650,27,0.003989,0.0,Panoramik inc,2017,6815,0,0.0,Tap Adventure: Time Travel,516,252,0.6486,32,40,"2,933"
599460,53,0.000789,6.99,INDIECN,2017,3964,0,1.0,Weapon Shop Fantasy,918,221,0.7692,48,88,"1,607"
601430,13,0.002763,59.99,Bethesda Softworks,2017,3978,0,0.0,The Evil Within 2,"9,306",829,0.8922,139,232,"9,918"
